instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
t2.medium,us-east-1,SUSE,Shared,NA,0.147,565.0,316.0,0.029,0.0666
c4.8xlarge,ap-northeast-1,SUSE,Dedicated,NA,2.116,12120.0,6212.0,0.702,1.478
t2.nano,us-east-1,Linux,Shared,NA,0.0059,34.0,18.0,0.002,0.0042
i2.xlarge,us-west-2,SUSE,Shared,NA,0.953,3389.0,1996.0,0.167,0.46
r3.large,us-east-2,Windows,Dedicated,SQL Std,1.041,6720.0,4455.0,0.274,0.915
g2.8xlarge,ap-northeast-1,Windows,Shared,SQL Server Enterprise,17.064,138578.0,69499.0,7.934,16.275
r4.4xlarge,us-east-2,RHEL,Dedicated,NA,1.3,7165.0,3075.0,0.481,0.951
c3.4xlarge,us-west-2,Windows,Shared,SQL Web,2.166,11298.0,4608.0,0.79,1.54
x1.16xlarge,us-gov-west-1,Windows,Shared,SQL Web,12.274,77737.0,39280.0,4.484,8.958
c4.xlarge,us-west-2,Windows,Shared,NA,0.383,2529.0,1291.0,0.147,0.31
i3.xlarge,ap-south-1,Windows,Shared,SQL Web,0.609,4209.0,2125.0,0.243,0.499
c3.xlarge,us-gov-west-1,Windows,Shared,SQL Web,0.584,3053.0,1241.0,0.214,0.416
r4.4xlarge,us-east-1,Linux,Shared,NA,1.064,5481.0,2796.0,0.319,0.672
c3.xlarge,us-west-2,Windows,Dedicated,SQL Std,1.173,6220.0,2541.0,0.435,0.848
r3.xlarge,us-west-2,Windows,Shared,SQL Server Enterprise,2.017,16301.0,8166.0,0.932,1.895
m3.2xlarge,us-west-2,SUSE,Dedicated,NA,0.695,3438.0,2045.0,0.167,0.454
c4.xlarge,sa-east-1,Windows,Shared,SQL Server Enterprise,1.993,16555.0,8296.0,0.947,1.904
r4.4xlarge,ap-southeast-2,Windows,Dedicated,NA,2.14,13679.0,6913.0,0.789,1.623
r4.2xlarge,ap-northeast-1,Windows,Dedicated,NA,1.072,6850.0,3462.0,0.395,0.8115
m2.xlarge,us-west-1,RHEL,Shared,NA,0.335,1502.0,473.0,0.121,0.194
m1.xlarge,ap-southeast-2,Windows,Dedicated,NA,0.822,4211.0,1455.0,0.325,0.574
t2.large,ap-northeast-2,SUSE,Shared,NA,0.228,1097.0,588.0,0.06,0.1246
c3.8xlarge,eu-west-1,Windows,Dedicated,NA,3.008,21728.0,6938.0,1.739,2.961
